sku,name,categories,price,product_type,errors
XG32VC,"ASUS ROG Strix XG32VC Gaming Monitor 32'' QHD 170Hz","PC COMPONENTS / GAMING MONITORS",208,,"Product Type is invalid or not supported"
90YE00L0-B0NA00,"ASUS ROG THOR 1200W Platinum II power supply unit Grey","PC COMPONENTS / POWER SUPPLY",139,,"Product Type is invalid or not supported"
90YH01L0-B2UA00,"ASUS ROG THRONE/AS HEADSET STAND","ACCESSORIES / MOUNTS & HOLDERS / HOLDERS",32,,"Product Type is invalid or not supported"
90MB1ER0-M0EAY0,"ASUS TUF GAMING B760-PLUS WIFI MB","PC COMPONENTS / MOTHERBOARD",74,,"Product Type is invalid or not supported"
90MB1BK0-M0EAY0,"ASUS TUF GAMING X670E-PLUS WIFI","PC COMPONENTS / MOTHERBOARD",115,,"Product Type is invalid or not supported"
90MB1CQ0-M0EAY0,"ASUS TUF GAMING Z790-PLUS D4 Motherboard","PC COMPONENTS / MOTHERBOARD",104.5,,"Product Type is invalid or not supported"
90DC0013-B49000,"ASUS TUF GT501 Gaming RGB Mid Tower Case - White","PC COMPONENTS / PC CASE / MID-TOWER CASE",52,,"Product Type is invalid or not supported"
90YE00S1-B0NA00,"ASUS TUF Gaming 1000W Gold","PC COMPONENTS / POWER SUPPLY",74,,"Product Type is invalid or not supported"
90YE00D1-B0NA00,"ASUS TUF Gaming 650W Bronze Power Supply Unit","PC COMPONENTS / POWER SUPPLY",34,,"Product Type is invalid or not supported"
90IG0790-MU9B00,"ASUS TUF Gaming AX3000 V2 Dual Band WiFi 6 Gaming Router with Mobile Game Mode","PC COMPONENTS / NETWORKING CARDS",51,,"Product Type is invalid or not supported"
90DC0040-B49000,"ASUS TUF Gaming GT301 ARGB Mid Tower Case","PC COMPONENTS / PC CASE / MID-TOWER CASE",33,,"Product Type is invalid or not supported"
90MP02A0-BCUA00,"ASUS TUF Gaming K1 RGB keyboard & M3 Mouse Combo","PC COMPONENTS / KEYBOARDS & ACCESSORIES",21,,"Product Type is invalid or not supported"
VG24VQE,"ASUS TUF Gaming VG24VQE 23.6'' 165Hz Full HD Curved Gaming Monitor","PC COMPONENTS / GAMING MONITORS",77,,"Product Type is invalid or not supported"
90YV0IZ0-M0NA00,"ASUS TUF RTX 4070 O12G GAMING VGA","PC COMPONENTS / GRAPHICS CARD",269,,"Product Type is invalid or not supported"
VG279Q1A,"ASUS TUF VG279Q1A 27 Inch Full HD 165Hz Monitor","PC COMPONENTS / GAMING MONITORS",79,,"Product Type is invalid or not supported"
VG289Q,"ASUS TUF VG289Q Gaming Monitor â€“ 28'' UHD 4K IPS","PC COMPONENTS / GAMING MONITORS",118,,"Product Type is invalid or not supported"
90IG06H0-MO0R00,"ASUS USB AX56 WiFi 6 AX1800 Dual Band Adapter","PC COMPONENTS / NETWORKING CARDS",25,,"Product Type is invalid or not supported"
90IG0650-MO0R0T,"ASUS USB Type-A 2.5G Base-T Ethernet Adapter with backward compatibility of 2.5G/1G/100Mbps","PC COMPONENTS / NETWORKING CARDS",18,,"Product Type is invalid or not supported"
90IG06I0-BM0400,"ASUS USB-AC58 wireless router AC1300  Dual-band (2.4 GHz / 5 GHz) 5G Black","PC COMPONENTS / NETWORKING CARDS",14,,"Product Type is invalid or not supported"
90IG0750-MO3B40,"ASUS ZenWiFi XD5 (W-2-PK) Dual-band (2.4 GHz / 5 GHz) Wi-Fi 6","PC COMPONENTS / NETWORKING CARDS",85,,"Product Type is invalid or not supported"
